times, f
1.451723886847752221e+00,-4.756224733084796763e-01
1.455163990845021793e+00,-4.764335389723572955e-01
1.458604094842291365e+00,-4.772413859476571929e-01
1.462044198839560938e+00,-4.780460505497232671e-01
1.465484302836830510e+00,-4.788475690938994722e-01
1.468924406834100083e+00,-4.796459778955298181e-01
1.472364510831369655e+00,-4.804413132699583699e-01
1.475804614828639005e+00,-4.812336115325289709e-01
1.479244718825908578e+00,-4.820229089985857418e-01
1.482684822823178150e+00,-4.828092419834726923e-01
1.486124926820447723e+00,-4.835926468025339986e-01
1.489565030817717295e+00,-4.843731597711131709e-01
1.493005134814986867e+00,-4.851508172045544964e-01
1.496445238812256440e+00,-4.859256554182020960e-01
1.499885342809526012e+00,-4.866977107273997571e-01
1.503325446806795584e+00,-4.874670194474914342e-01
1.506765550804065157e+00,-4.882336178938214144e-01
1.510205654801334729e+00,-4.889975423817333744e-01
1.513645758798604302e+00,-4.897588292265716015e-01
1.517085862795873874e+00,-4.905175147436797722e-01
1.520525966793143224e+00,-4.912736352484020630e-01
1.523966070790412797e+00,-4.920272270560824279e-01
1.527406174787682369e+00,-4.927783264820650433e-01
1.530846278784951942e+00,-4.935269698416936968e-01
1.534286382782221514e+00,-4.942731934503125091e-01
1.537726486779491086e+00,-4.950170336232652679e-01
1.541166590776760659e+00,-4.957585266758962050e-01
1.544606694774030231e+00,-4.964977089235491636e-01
1.548046798771299803e+00,-4.972346166815683199e-01
1.551486902768569376e+00,-4.979692862652974616e-01
1.554927006765838948e+00,-4.987017539900805985e-01
1.558367110763108521e+00,-4.994320561712619622e-01
1.561807214760378093e+00,-5.001602291241853404e-01
1.565247318757647443e+00,-5.008863091641947429e-01
1.568687422754917016e+00,-5.016103326066341239e-01
1.572127526752186588e+00,-5.023323357668476596e-01
1.575567630749456161e+00,-5.030523549601791933e-01
1.579007734746725733e+00,-5.037704265019727901e-01
1.582447838743995305e+00,-5.044865867075725152e-01
1.585887942741264878e+00,-5.052008718923223229e-01
1.589328046738534450e+00,-5.059133183715660564e-01
1.592768150735804022e+00,-5.066239624606478920e-01
1.596208254733073595e+00,-5.073328404749116727e-01
1.599648358730343167e+00,-5.080399887297014638e-01
1.603088462727612740e+00,-5.087454435403613306e-01
1.606528566724882312e+00,-5.094492412222352273e-01
1.609968670722151662e+00,-5.101514180906669971e-01
1.613408774719421235e+00,-5.108520104610009271e-01
1.616848878716690807e+00,-5.115510546485808607e-01
1.620288982713960380e+00,-5.122485869687507520e-01
1.623729086711229952e+00,-5.129446437368546663e-01
1.627169190708499524e+00,-5.136392612682365577e-01
1.630609294705769097e+00,-5.143324718296478082e-01
1.634049398703038669e+00,-5.150242767337994687e-01
1.637489502700308242e+00,-5.157146630051694380e-01
1.640929606697577814e+00,-5.164036175914621385e-01
1.644369710694847386e+00,-5.170911274403818814e-01
1.647809814692116959e+00,-5.177771794996333110e-01
1.651249918689386309e+00,-5.184617607169209608e-01
1.654690022686655881e+00,-5.191448580399490309e-01
1.658130126683925454e+00,-5.198264584164226099e-01
1.661570230681195026e+00,-5.205065487940454538e-01
1.665010334678464599e+00,-5.211851161205226513e-01
1.668450438675734171e+00,-5.218621473435582914e-01
1.671890542673003743e+00,-5.225376294108571296e-01
1.675330646670273316e+00,-5.232115492701234771e-01
1.678770750667542888e+00,-5.238838938690617564e-01
1.682210854664812461e+00,-5.245546501553766117e-01
1.685650958662082033e+00,-5.252238050767724653e-01
1.689091062659351605e+00,-5.258913455809538506e-01
1.692531166656621178e+00,-5.265572586156251900e-01
1.695971270653890528e+00,-5.272215311284907946e-01
1.699411374651160100e+00,-5.278841500672556419e-01
1.702851478648429673e+00,-5.285451023796237102e-01
1.706291582645699245e+00,-5.292043750132996438e-01
1.709731686642968818e+00,-5.298619549159880870e-01
1.713171790640238390e+00,-5.305178290353933512e-01
1.716611894637507962e+00,-5.311719843192199697e-01
1.720051998634777535e+00,-5.318244077151723648e-01
1.723492102632047107e+00,-5.324750861709550698e-01
1.726932206629316680e+00,-5.331240066342728401e-01
1.730372310626586252e+00,-5.337711560528295429e-01
1.733812414623855824e+00,-5.344165213743302667e-01
1.737252518621125397e+00,-5.350600895464789897e-01
1.740692622618394747e+00,-5.357018475169805782e-01
1.744132726615664319e+00,-5.363417822335394547e-01
1.747572830612933892e+00,-5.369798806438601524e-01
1.751012934610203464e+00,-5.376161296956468716e-01
1.754453038607473037e+00,-5.382505163366043677e-01
1.757893142604742609e+00,-5.388830275144368409e-01
1.761333246602012181e+00,-5.395136501768491577e-01
1.764773350599281754e+00,-5.401423712715452963e-01
1.768213454596551326e+00,-5.407691777462303451e-01
1.771653558593820899e+00,-5.413940565486083933e-01
1.775093662591090471e+00,-5.420169946263840854e-01
1.778533766588360043e+00,-5.426379789272616216e-01
1.781973870585629616e+00,-5.432569963989457573e-01
1.785413974582898966e+00,-5.438740339891410258e-01
1.788854078580168538e+00,-5.444890786455518494e-01
1.792294182577438111e+00,-5.451021173158825395e-01
1.795734286574707683e+00,-5.457131369478378513e-01
1.799174390571977256e+00,-5.463221244891219852e-01
1.802614494569246828e+00,-5.469290668874395855e-01
1.806054598566516400e+00,-5.475339510904951856e-01
1.809494702563785973e+00,-5.481367641079558650e-01
1.812934806561055545e+00,-5.487375044813527225e-01
1.816374910558325118e+00,-5.493361957348540381e-01
1.819815014555594690e+00,-5.499328646602001935e-01
1.823255118552864262e+00,-5.505275380491305715e-01
1.826695222550133835e+00,-5.511202426933854426e-01
1.830135326547403185e+00,-5.517110053847044115e-01
1.833575430544672757e+00,-5.522998529148273050e-01
1.837015534541942330e+00,-5.528868120754943938e-01
1.840455638539211902e+00,-5.534719096584450604e-01
1.843895742536481475e+00,-5.540551724554193536e-01
1.847335846533751047e+00,-5.546366272581571000e-01
1.850775950531020619e+00,-5.552163008583983483e-01
1.854216054528290192e+00,-5.557942200478825923e-01
1.857656158525559764e+00,-5.563704116183499915e-01
1.861096262522829337e+00,-5.569449023615402616e-01
1.864536366520098909e+00,-5.575177190691932294e-01
1.867976470517368481e+00,-5.580888885330490545e-01
1.871416574514638054e+00,-5.586584375448473416e-01
1.874856678511907404e+00,-5.592263928963278063e-01
1.878296782509176976e+00,-5.597927813792304974e-01
1.881736886506446549e+00,-5.603576297852954635e-01
1.885176990503716121e+00,-5.609209649062623093e-01
1.888617094500985694e+00,-5.614828135338708615e-01
1.892057198498255266e+00,-5.620432024598612797e-01
1.895497302495524838e+00,-5.626021584759729466e-01
1.898937406492794411e+00,-5.631597083739463550e-01
1.902377510490063983e+00,-5.637158789455208874e-01
1.905817614487333556e+00,-5.642706969824364815e-01
1.909257718484603128e+00,-5.648241892764330752e-01
1.912697822481872700e+00,-5.653763826192504949e-01
1.916137926479142051e+00,-5.659273038026283453e-01
1.919578030476411623e+00,-5.664769796183071193e-01
1.923018134473681195e+00,-5.670254368580263105e-01
1.926458238470950768e+00,-5.675727023135255234e-01
1.929898342468220340e+00,-5.681188027765450288e-01
1.933338446465489913e+00,-5.686637650388245424e-01
1.936778550462759485e+00,-5.692076158921038909e-01
1.940218654460029057e+00,-5.697503821281229008e-01
1.943658758457298630e+00,-5.702920905386215100e-01
1.947098862454568202e+00,-5.708327679153396561e-01
1.950538966451837775e+00,-5.713724410500170547e-01
1.953979070449107347e+00,-5.719111367343936436e-01
1.957419174446376919e+00,-5.724488817602091384e-01
1.960859278443646270e+00,-5.729857029192034767e-01
1.964299382440915842e+00,-5.735216270031167074e-01
1.967739486438185414e+00,-5.740566808036885460e-01
1.971179590435454987e+00,-5.745908911126588192e-01
1.974619694432724559e+00,-5.751242847217674647e-01
1.978059798429994132e+00,-5.756568884227541982e-01
1.981499902427263704e+00,-5.761887290073592904e-01
1.984940006424533276e+00,-5.767198332673220129e-01
1.988380110421802849e+00,-5.772502279943823034e-01
1.991820214419072421e+00,-5.777799388217853549e-01
1.995260318416341994e+00,-5.783089760441106897e-01
1.998700422413611566e+00,-5.788373390923633455e-01
2.002140526410880916e+00,-5.793650271675929719e-01
2.005580630408150711e+00,-5.798920394708492188e-01
2.009020734405420061e+00,-5.804183752031810695e-01
2.012460838402689856e+00,-5.809440335656379517e-01
2.015900942399959206e+00,-5.814690137592692931e-01
2.019341046397229000e+00,-5.819933149851244103e-01
2.022781150394498351e+00,-5.825169364442526199e-01
2.026221254391767701e+00,-5.830398773377035715e-01
2.029661358389037495e+00,-5.835621368665264708e-01
2.033101462386306846e+00,-5.840837142317704123e-01
2.036541566383576640e+00,-5.846046086344852677e-01
